person,teammates,year,champ,round1,round2,round3,round4,round5,round6,total,games,ppg,draftposition
Andrew L,No,2012,0,117,86,84,66,34,6,393,29,13.6,5
Alex,Yes,2012,0,100,65,56,26,32,23,302,21,14.4,6
Adam,No,2012,0,109,83,79,60,6,9,346,27,12.8,7
Rob,No,2012,0,87,73,32,39,9,0,240,20,12,8
Rob,No,2013,0,143,79,48,28,21,9,328,20,16.4,1
James,Yes,2013,0,84,47,43,22,0,3,199,23,8.6999998,2
Josh,Yes,2013,1,128,105,65,46,33,36,413,30,13.8,3
Andrew F,Yes,2013,0,113,115,79,13,22,0,342,24,14.3,4
Bryan,Yes,2013,0,87,65,22,16,7,18,215,21,10.2,5
Adam,Yes,2013,0,78,85,107,58,2,0,330,30,11,6
Andrew L,Yes,2013,0,96,96,64,74,0,8,338,28,12.1,7
Alex,No,2013,0,91,78,89,52,23,27,360,29,12.4,8
Andrew F,Yes,2014,0,152,84,49,0,0,0,285,17,16.799999,1
Andrew L,Yes,2014,1,124,121,76,65,15,0,401,27,14.9,2
Bryan,Yes,2014,0,117,101,37,0,0,0,255,17,15,3
Rob,No,2014,0,101,78,41,44,24,10,298,22,13.5,4
James,Yes,2014,0,83,95,55,66,61,0,360,34,10.6,5
Josh,Yes,2014,0,129,113,67,0,0,0,309,19,16.299999,6
Adam,Yes,2014,0,99,84,45,42,12,22,304,23,13.2,7
Alex,Yes,2014,0,109,90,67,59,7,0,332,25,13.3,8
Andrew L,No,2015,1,118,90,112,79,41,32,472,34,13.9,1
Josh,No,2015,0,140,83,65,44,31,10,373,26,14.3,2
Andrew F,No,2015,0,132,98,57,80,50,13,430,31,13.9,3
Bryan,Yes,2015,0,68,56,47,20,18,0,209,23,9.1000004,4
Alex,Yes,2015,0,146,68,39,47,16,12,328,20,16.4,5
Rob,No,2015,0,116,115,39,23,17,6,316,21,15,6
James,Yes,2015,0,106,70,72,54,9,23,334,28,11.9,7
Adam,Yes,2015,0,126,145,64,48,37,10,430,29,14.8,8
Andrew L,No,2016,0,73,81,77,23,38,16,308,25,12.3,1
Bryan,No,2016,0,141,119,90,37,9,0,396,20,19.799999,2
Rob,Yes,2016,0,115,66,79,63,47,44,414,30,13.8,3
Alex,Yes,2016,0,136,132,111,32,0,0,411,25,16.4,4
Josh,Yes,2016,0,100,49,42,23,0,0,214,16,13.4,5
Andrew F,Yes,2016,0,129,105,67,60,24,34,419,24,17.5,6
Adam,No,2016,0,114,132,63,28,0,0,337,24,14,7
James,Yes,2016,1,114,103,91,67,46,25,446,34,13.1,8
Alex,No,2017,0,145,119,51,47,21,0,383,20,19.200001,1
Rob,Yes,2017,0,127,124,99,45,37,16,448,26,17.200001,2
Adam,Yes,2017,0,116,87,19,13,0,0,235,18,13.1,3
Andrew F,No,2017,0,115,124,91,16,0,0,346,22,15.7,4
Andrew L,No,2017,0,101,99,64,24,38,16,342,29,11.8,5
James,Yes,2017,0,132,100,66,17,0,0,315,23,13.7,6
Josh,No,2017,1,125,109,111,62,33,28,468,30,15.6,7
Bryan,No,2017,0,135,80,60,27,25,28,355,25,14.2,8
Andrew F,Yes,2018,1,88,99,118,63,50,25,443,33,13.4,1
Adam,No,2018,0,115,136,48,44,31,19,393,25,15.7,2
Rob,No,2018,0,114,69,29,24,25,31,292,22,13.3,3
Bryan,Yes,2018,0,154,91,8,0,0,0,253,14,18.1,4
Andrew L,No,2018,0,108,72,40,20,30,23,293,21,14,5
James,Yes,2018,0,110,59,55,47,42,8,321,27,11.9,6
Alex,Yes,2018,0,137,143,55,12,0,0,347,20,17.4,7
Josh,Yes,2018,0,121,79,57,12,0,0,269,21,12.8,8
Rob,No,2019,0,118,90,99,41,0,0,348,23,15.1,1
Bryan,No,2019,0,109,94,88,89,12,0,392,27,14.5,2
James,No,2019,0,128,110,64,46,17,15,380,26,14.6,3
Adam,No,2019,0,125,89,83,61,26,16,400,29,13.8,4
Andrew L,No,2019,0,99,99,99,7,0,0,304,21,14.5,5
Andrew F,Yes,2019,0,176,95,56,20,16,0,363,20,18.200001,6
Alex,Yes,2019,0,95,77,86,74,46,66,444,37,12,7
Josh,No,2019,1,165,134,63,86,11,0,459,21,21.9,8
Alex,No,2021,0,120,49,26,29,15,12,251,18,13.9,1
Rob,No,2021,0,86,60,38,11,0,0,195,17,11.5,2
Andrew F,No,2021,0,100,77,51,33,31,12,304,21,14.5,3
Josh,Yes,2021,0,156,121,20,0,0,0,297,16,18.6,4
Adam,Yes,2021,1,124,129,60,46,16,22,397,28,14.2,5
Bryan,Yes,2021,0,88,79,65,62,37,22,353,29,12.2,6
Andrew L,Yes,2021,0,149,129,47,29,13,0,367,24,15.3,7
James,Yes,2021,0,99,59,57,50,56,51,372,31,12,8
James,Yes,2022,0,127,120,51,0,0,0,298,19,15.7,1
Adam,Yes,2022,0,130,109,46,2,0,0,287,19,15.1,2
Bryan,Yes,2022,0,88,65,25,33,21,12,244,21,11.6,3
Alex,Yes,2022,0,135,74,76,26,0,0,311,21,14.8,4
Andrew L,Yes,2022,0,94,80,64,38,36,30,342,27,12.7,5
Josh,Yes,2022,0,114,83,68,44,37,0,346,24,14.4,6
Rob,Yes,2022,1,115,118,51,41,56,12,393,30,13.1,7
Andrew F,Yes,2022,0,108,72,49,18,6,0,253,21,12,8
Alex,No,2023,0,93,120,32,0,0,0,245,17,14.4,1
Josh,Yes,2023,0,126,86,55,54,0,0,321,20,16.1,2
Adam,Yes,2023,0,122,61,43,11,0,0,237,18,13.2,3
Rob,No,2023,0,91,88,38,31,15,0,263,19,13.8,4
Bryan,Yes,2023,0,79,83,74,8,0,0,244,23,10.6,5
Andrew F,Yes,2023,1,119,133,139,37,13,16,457,27,16.9,6
James,Yes,2023,0,114,113,81,27,0,0,335,21,16,7
Andrew L,Yes,2023,0,116,108,59,18,42,25,368,28,13.1,8
